alert_id,created_at,rule_id,rule_name,window_start,window_end,severity,status,review_required,what,where_line,where_station,where_jig,where_model,where_firmware,where_api_key,related_line_stop_category,related_line_stop_reason,evidence,suggested_action,total_attempts,failures,rate,baseline_rate,ppm,baseline_ppm,is_systematic
ALERT-e7dd49aa7213,2026-07-03T04:39:06.376652+00:00,FIRMWARE_BATCH,Firmware ou lote problematico,2022-09-13T09:30:00,2022-09-13T10:00:00,critical,PENDING_REVIEW,True,fw_download / ERR_AUTH,,,,STB-300,v4.1.2,,Unplanned,Remote recording auth/firmware server unavailable,18 falhas em 54 tentativas; PPM 333333; limite 291604,"Bloquear lote de firmware, validar pacote e checksums, e segregar unidades afetadas.",54,18,0.3333333333333333,0.09720125420973173,333333.3333333333,97201.25420973173,True
ALERT-0adbf73237d2,2026-07-03T04:39:06.420656+00:00,JIG_STEP_CHRONIC,Falha cronica por jig e etapa,2022-09-13T09:45:00,2022-09-13T10:15:00,critical,PENDING_REVIEW,True,fw_download / ERR_AUTH,L2,L2-ST2,JIG-L2-ST2-2,,,,Unplanned,Remote recording auth/firmware server unavailable,20 falhas em 24 tentativas; taxa 83.33%; limite 38.60%,"Parar o jig, abrir manutencao e reprocessar unidades afetadas.",24,20,0.8333333333333334,0.1286707016364044,833333.3333333334,128670.7016364044,True
ALERT-f0e4e40d6163,2026-07-03T04:39:06.434163+00:00,REMOTE_API,Falha remota ou API key,2022-09-13T09:45:00,2022-09-13T10:15:00,critical,PENDING_REVIEW,True,fw_download / ERR_AUTH,L2,,,,,RKEY-00A57974F5,Unplanned,Remote recording auth/firmware server unavailable,64 falhas remotas em 72 tentativas; taxa 88.89%; linhas afetadas 1,"Validar conectividade, renovar API key e pausar a chave se severidade alta.",72,64,0.8888888888888888,0.1489971346704871,888888.8888888889,148997.1346704871,True
ALERT-56d42b2e29cf,2026-07-03T04:39:06.450165+00:00,FIRMWARE_BATCH,Firmware ou lote problematico,2022-09-13T09:45:00,2022-09-13T10:15:00,critical,PENDING_REVIEW,True,fw_download / ERR_AUTH,,,,STB-200,v4.1.2,,Unplanned,Remote recording auth/firmware server unavailable,15 falhas em 46 tentativas; PPM 326087; limite 291604,"Bloquear lote de firmware, validar pacote e checksums, e segregar unidades afetadas.",46,15,0.32608695652173914,0.09720125420973173,326086.95652173914,97201.25420973173,True
ALERT-d9911dabe521,2026-07-03T04:39:06.456164+00:00,FIRMWARE_BATCH,Firmware ou lote problematico,2022-09-13T09:45:00,2022-09-13T10:15:00,critical,PENDING_REVIEW,True,fw_download / ERR_AUTH,,,,STB-300,v4.1.2,,Unplanned,Remote recording auth/firmware server unavailable,18 falhas em 54 tentativas; PPM 333333; limite 291604,"Bloquear lote de firmware, validar pacote e checksums, e segregar unidades afetadas.",54,18,0.3333333333333333,0.09720125420973173,333333.3333333333,97201.25420973173,True
ALERT-0ca1b4971e20,2026-07-03T04:39:06.505781+00:00,JIG_STEP_CHRONIC,Falha cronica por jig e etapa,2022-09-13T10:00:00,2022-09-13T10:30:00,critical,PENDING_REVIEW,True,fw_download / ERR_AUTH,L2,L2-ST2,JIG-L2-ST2-2,,,,Unplanned,Remote recording auth/firmware server unavailable,19 falhas em 21 tentativas; taxa 90.48%; limite 38.60%,"Parar o jig, abrir manutencao e reprocessar unidades afetadas.",21,19,0.9047619047619048,0.1286707016364044,904761.9047619047,128670.7016364044,True
ALERT-f874dbc1e99c,2026-07-03T04:39:06.519785+00:00,REMOTE_API,Falha remota ou API key,2022-09-13T10:00:00,2022-09-13T10:30:00,critical,PENDING_REVIEW,True,fw_download / ERR_AUTH,L2,,,,,RKEY-00A57974F5,Unplanned,Remote recording auth/firmware server unavailable,63 falhas remotas em 72 tentativas; taxa 87.50%; linhas afetadas 1,"Validar conectividade, renovar API key e pausar a chave se severidade alta.",72,63,0.875,0.1489971346704871,875000.0,148997.1346704871,True
ALERT-34faf5b102f7,2026-07-03T04:39:06.542366+00:00,FIRMWARE_BATCH,Firmware ou lote problematico,2022-09-13T10:00:00,2022-09-13T10:30:00,critical,PENDING_REVIEW,True,fw_download / ERR_AUTH,,,,STB-300,v4.1.2,,Unplanned,Remote recording auth/firmware server unavailable,21 falhas em 52 tentativas; PPM 403846; limite 291604,"Bloquear lote de firmware, validar pacote e checksums, e segregar unidades afetadas.",52,21,0.40384615384615385,0.09720125420973173,403846.1538461539,97201.25420973173,True
ALERT-a05a0bc3aea4,2026-07-03T04:39:06.547366+00:00,FIRMWARE_BATCH,Firmware ou lote problematico,2022-09-13T10:00:00,2022-09-13T10:30:00,critical,PENDING_REVIEW,True,fw_download / ERR_AUTH,,,,STB-400,v4.1.2,,Unplanned,Remote recording auth/firmware server unavailable,11 falhas em 31 tentativas; PPM 354839; limite 291604,"Bloquear lote de firmware, validar pacote e checksums, e segregar unidades afetadas.",31,11,0.3548387096774194,0.09720125420973173,354838.7096774194,97201.25420973173,True
ALERT-07dcd9806090,2026-07-03T04:39:06.591366+00:00,JIG_STEP_CHRONIC,Falha cronica por jig e etapa,2022-09-13T10:15:00,2022-09-13T10:45:00,critical,PENDING_REVIEW,True,fw_download / ERR_AUTH,L2,L2-ST1,JIG-L2-ST1-1,,,,Unplanned,Remote recording auth/firmware server unavailable,11 falhas em 25 tentativas; taxa 44.00%; limite 38.60%,"Parar o jig, abrir manutencao e reprocessar unidades afetadas.",25,11,0.44,0.1286707016364044,440000.0,128670.7016364044,True
ALERT-71444c033a7c,2026-07-03T04:39:06.597366+00:00,JIG_STEP_CHRONIC,Falha cronica por jig e etapa,2022-09-13T10:15:00,2022-09-13T10:45:00,critical,PENDING_REVIEW,True,fw_download / ERR_AUTH,L2,L2-ST2,JIG-L2-ST2-1,,,,Unplanned,Remote recording auth/firmware server unavailable,11 falhas em 22 tentativas; taxa 50.00%; limite 38.60%,"Parar o jig, abrir manutencao e reprocessar unidades afetadas.",22,11,0.5,0.1286707016364044,500000.0,128670.7016364044,True
ALERT-f0eebad8f96d,2026-07-03T04:39:07.372172+00:00,CYCLE_TIME_DRIFT,Drift de cycle time,2022-09-13T13:00:00,2022-09-13T13:30:00,medium,OPEN,False,wifi_cal,L1,L1-ST2,JIG-L1-ST2-2,STB-100,,,,,p95 54.82s contra limite 52.20s; mediana 30.30s,"Verificar gargalo de software ou hardware na etapa e checar jig, estacao e paradas proximas.",197,15,0.1050191570881226,,,,True
ALERT-5c1b761efe8a,2026-07-03T04:39:07.440683+00:00,CYCLE_TIME_DRIFT,Drift de cycle time,2022-09-13T13:15:00,2022-09-13T13:45:00,medium,OPEN,False,wifi_cal,L1,L1-ST2,JIG-L1-ST2-1,STB-200,,,,,p95 56.80s contra limite 52.20s; mediana 30.20s,"Verificar gargalo de software ou hardware na etapa e checar jig, estacao e paradas proximas.",191,20,0.10881226053639848,,,,True
ALERT-595b6690f00c,2026-07-03T04:39:07.493705+00:00,CYCLE_TIME_DRIFT,Drift de cycle time,2022-09-13T13:30:00,2022-09-13T14:00:00,medium,OPEN,False,wifi_cal,L1,L2-ST1,JIG-L2-ST1-1,STB-200,,,,,p95 52.92s contra limite 52.20s; mediana 29.80s,"Verificar gargalo de software ou hardware na etapa e checar jig, estacao e paradas proximas.",129,9,0.10137931034482758,,,,True
ALERT-c3cefbbe2ef4,2026-07-03T04:39:07.553302+00:00,CYCLE_TIME_DRIFT,Drift de cycle time,2022-09-13T13:45:00,2022-09-13T14:15:00,medium,OPEN,False,wifi_cal,L2,L1-ST1,JIG-L1-ST1-2,STB-200,,,,,p95 54.69s contra limite 52.20s; mediana 30.20s,"Verificar gargalo de software ou hardware na etapa e checar jig, estacao e paradas proximas.",148,8,0.10477011494252886,,,,True
ALERT-c305b997366d,2026-07-03T04:39:07.622304+00:00,CYCLE_TIME_DRIFT,Drift de cycle time,2022-09-13T14:00:00,2022-09-13T14:30:00,medium,OPEN,False,wifi_cal,L2,L2-ST1,JIG-L2-ST1-1,STB-200,,,,,p95 60.32s contra limite 52.20s; mediana 30.45s,"Verificar gargalo de software ou hardware na etapa e checar jig, estacao e paradas proximas.",192,16,0.11556513409961686,,,,True
ALERT-c4e2b5cb7bc6,2026-07-03T04:39:07.689345+00:00,CYCLE_TIME_DRIFT,Drift de cycle time,2022-09-13T14:15:00,2022-09-13T14:45:00,medium,OPEN,False,wifi_cal,L2,L2-ST1,JIG-L2-ST1-1,STB-200,,,,,p95 61.18s contra limite 52.20s; mediana 30.40s,"Verificar gargalo de software ou hardware na etapa e checar jig, estacao e paradas proximas.",172,14,0.11720306513409962,,,,True
ALERT-00c6ca23841d,2026-07-03T04:39:07.753578+00:00,CYCLE_TIME_DRIFT,Drift de cycle time,2022-09-13T14:30:00,2022-09-13T15:00:00,medium,OPEN,False,wifi_cal,L1,L1-ST2,JIG-L1-ST2-2,STB-100,,,,,p95 58.36s contra limite 52.20s; mediana 30.40s,"Verificar gargalo de software ou hardware na etapa e checar jig, estacao e paradas proximas.",158,11,0.11179118773946364,,,,True
ALERT-113fcfa1a8ee,2026-07-03T04:39:07.824090+00:00,CYCLE_TIME_DRIFT,Drift de cycle time,2022-09-13T14:45:00,2022-09-13T15:15:00,medium,OPEN,False,wifi_cal,L1,L1-ST2,JIG-L1-ST2-2,STB-100,,,,,p95 55.40s contra limite 52.20s; mediana 30.40s,"Verificar gargalo de software ou hardware na etapa e checar jig, estacao e paradas proximas.",163,11,0.10613026819923374,,,,True
ALERT-ebd1f14eaac0,2026-07-03T04:39:07.892613+00:00,CYCLE_TIME_DRIFT,Drift de cycle time,2022-09-13T15:00:00,2022-09-13T15:30:00,medium,OPEN,False,wifi_cal,L2,L2-ST1,JIG-L2-ST1-1,STB-100,,,,,p95 55.63s contra limite 52.20s; mediana 30.50s,"Verificar gargalo de software ou hardware na etapa e checar jig, estacao e paradas proximas.",179,12,0.10657088122605365,,,,True
ALERT-5ce0a9814cfa,2026-07-03T04:39:07.963878+00:00,CYCLE_TIME_DRIFT,Drift de cycle time,2022-09-13T15:15:00,2022-09-13T15:45:00,medium,OPEN,False,wifi_cal,L2,L2-ST1,JIG-L2-ST1-1,STB-200,,,,,p95 55.01s contra limite 52.20s; mediana 30.40s,"Verificar gargalo de software ou hardware na etapa e checar jig, estacao e paradas proximas.",170,10,0.1053927203065134,,,,True
ALERT-ea723b810065,2026-07-03T04:39:08.029391+00:00,CYCLE_TIME_DRIFT,Drift de cycle time,2022-09-13T15:30:00,2022-09-13T16:00:00,medium,OPEN,False,wifi_cal,L2,L2-ST2,JIG-L2-ST2-2,STB-200,,,,,p95 60.40s contra limite 52.20s; mediana 30.00s,"Verificar gargalo de software ou hardware na etapa e checar jig, estacao e paradas proximas.",173,12,0.11570881226053639,,,,True
ALERT-27becac44692,2026-07-03T04:39:08.088905+00:00,CYCLE_TIME_DRIFT,Drift de cycle time,2022-09-13T15:45:00,2022-09-13T16:15:00,medium,OPEN,False,wifi_cal,L1,L1-ST1,JIG-L4-ST1-2,STB-200,,,,,p95 60.78s contra limite 52.20s; mediana 30.20s,"Verificar gargalo de software ou hardware na etapa e checar jig, estacao e paradas proximas.",177,13,0.11643678160919538,,,,True
ALERT-ae6934fe372f,2026-07-03T04:39:08.157644+00:00,CYCLE_TIME_DRIFT,Drift de cycle time,2022-09-13T16:00:00,2022-09-13T16:30:00,medium,OPEN,False,wifi_cal,L3,L3-ST1,JIG-L3-ST1-1,STB-100,,,,,p95 59.28s contra limite 52.20s; mediana 29.70s,"Verificar gargalo de software ou hardware na etapa e checar jig, estacao e paradas proximas.",179,11,0.11356321839080459,,,,True
ALERT-3ddaf9cda956,2026-07-03T04:39:08.224647+00:00,CYCLE_TIME_DRIFT,Drift de cycle time,2022-09-13T16:15:00,2022-09-13T16:45:00,medium,OPEN,False,wifi_cal,L2,L2-ST1,JIG-L2-ST1-2,STB-100,,,,,p95 61.90s contra limite 52.20s; mediana 29.75s,"Verificar gargalo de software ou hardware na etapa e checar jig, estacao e paradas proximas.",174,11,0.1185919540229885,,,,True
ALERT-a65e329e54ca,2026-07-03T04:39:08.291169+00:00,CYCLE_TIME_DRIFT,Drift de cycle time,2022-09-13T16:30:00,2022-09-13T17:00:00,medium,OPEN,False,wifi_cal,L3,L3-ST2,JIG-L3-ST2-1,STB-200,,,,,p95 65.17s contra limite 52.20s; mediana 29.85s,"Verificar gargalo de software ou hardware na etapa e checar jig, estacao e paradas proximas.",178,11,0.12485632183908046,,,,True
ALERT-42e3d6b419a8,2026-07-03T04:39:08.350367+00:00,CYCLE_TIME_DRIFT,Drift de cycle time,2022-09-13T16:45:00,2022-09-13T17:15:00,medium,OPEN,False,wifi_cal,L1,L1-ST1,JIG-L3-ST2-1,STB-200,,,Planned,5S / cleaning,p95 64.58s contra limite 52.20s; mediana 29.80s,"Verificar gargalo de software ou hardware na etapa e checar jig, estacao e paradas proximas.",174,12,0.12371647509578546,,,,True
ALERT-18efe0905f01,2026-07-03T04:39:08.418882+00:00,CYCLE_TIME_DRIFT,Drift de cycle time,2022-09-13T17:00:00,2022-09-13T17:30:00,medium,OPEN,False,wifi_cal,L2,L3-ST2,JIG-L1-ST1-1,STB-200,,,,,p95 64.50s contra limite 52.20s; mediana 29.90s,"Verificar gargalo de software ou hardware na etapa e checar jig, estacao e paradas proximas.",161,12,0.12356321839080461,,,,True
ALERT-2936243f9653,2026-07-03T04:39:08.491469+00:00,CYCLE_TIME_DRIFT,Drift de cycle time,2022-09-13T17:15:00,2022-09-13T17:45:00,medium,OPEN,False,wifi_cal,L1,L1-ST1,JIG-L1-ST1-1,STB-300,,,,,p95 68.00s contra limite 52.20s; mediana 30.00s,"Verificar gargalo de software ou hardware na etapa e checar jig, estacao e paradas proximas.",182,17,0.13025862068965519,,,,True
ALERT-f1b8d2051bc2,2026-07-03T04:39:08.561716+00:00,CYCLE_TIME_DRIFT,Drift de cycle time,2022-09-13T17:30:00,2022-09-13T18:00:00,medium,OPEN,False,wifi_cal,L1,L1-ST1,JIG-L1-ST1-1,STB-100,,,,,p95 67.92s contra limite 52.20s; mediana 30.50s,"Verificar gargalo de software ou hardware na etapa e checar jig, estacao e paradas proximas.",206,17,0.13012452107279696,,,,True
ALERT-c5e0ef109f08,2026-07-03T04:39:08.640228+00:00,CYCLE_TIME_DRIFT,Drift de cycle time,2022-09-13T17:45:00,2022-09-13T18:15:00,medium,OPEN,False,wifi_cal,L1,L1-ST1,JIG-L1-ST1-1,STB-100,,,,,p95 67.60s contra limite 52.20s; mediana 30.60s,"Verificar gargalo de software ou hardware na etapa e checar jig, estacao e paradas proximas.",201,13,0.12950191570881225,,,,True
ALERT-427a9ecdea8b,2026-07-03T04:39:08.715823+00:00,CYCLE_TIME_DRIFT,Drift de cycle time,2022-09-13T18:00:00,2022-09-13T18:30:00,medium,OPEN,False,wifi_cal,L1,L1-ST2,JIG-L2-ST2-2,STB-100,,,,,p95 73.68s contra limite 52.20s; mediana 30.40s,"Verificar gargalo de software ou hardware na etapa e checar jig, estacao e paradas proximas.",194,15,0.14114942528735633,,,,True
ALERT-bade847ad942,2026-07-03T04:39:08.790419+00:00,CYCLE_TIME_DRIFT,Drift de cycle time,2022-09-13T18:15:00,2022-09-13T18:45:00,medium,OPEN,False,wifi_cal,L1,L2-ST1,JIG-L2-ST1-2,STB-100,,,,,p95 74.67s contra limite 52.20s; mediana 30.25s,"Verificar gargalo de software ou hardware na etapa e checar jig, estacao e paradas proximas.",194,15,0.14305555555555552,,,,True
ALERT-f561b0a18d02,2026-07-03T04:39:08.865930+00:00,CYCLE_TIME_DRIFT,Drift de cycle time,2022-09-13T18:30:00,2022-09-13T19:00:00,medium,OPEN,False,wifi_cal,L1,L1-ST1,JIG-L2-ST1-1,STB-200,,,,,p95 68.64s contra limite 52.20s; mediana 30.10s,"Verificar gargalo de software ou hardware na etapa e checar jig, estacao e paradas proximas.",189,13,0.13149425287356323,,,,True
ALERT-42e5f3117ff1,2026-07-03T04:39:08.943206+00:00,CYCLE_TIME_DRIFT,Drift de cycle time,2022-09-13T18:45:00,2022-09-13T19:15:00,medium,OPEN,False,wifi_cal,L2,L2-ST1,JIG-L2-ST1-2,STB-100,,,,,p95 69.37s contra limite 52.20s; mediana 29.60s,"Verificar gargalo de software ou hardware na etapa e checar jig, estacao e paradas proximas.",182,15,0.13289272030651342,,,,True
ALERT-44a5b420ed77,2026-07-03T04:39:09.030228+00:00,CYCLE_TIME_DRIFT,Drift de cycle time,2022-09-13T19:00:00,2022-09-13T19:30:00,medium,OPEN,False,wifi_cal,L3,L2-ST1,JIG-L3-ST2-2,STB-100,,,,,p95 73.69s contra limite 52.20s; mediana 30.05s,"Verificar gargalo de software ou hardware na etapa e checar jig, estacao e paradas proximas.",168,14,0.14115900383141763,,,,True
ALERT-0d390f1bbc46,2026-07-03T04:39:09.097247+00:00,CYCLE_TIME_DRIFT,Drift de cycle time,2022-09-13T19:15:00,2022-09-13T19:45:00,medium,OPEN,False,wifi_cal,L2,L2-ST2,JIG-L4-ST2-2,STB-100,,,,,p95 60.18s contra limite 52.20s; mediana 30.50s,"Verificar gargalo de software ou hardware na etapa e checar jig, estacao e paradas proximas.",166,9,0.11527777777777778,,,,True
ALERT-5efeeff92eb8,2026-07-03T04:39:09.190568+00:00,CYCLE_TIME_DRIFT,Drift de cycle time,2022-09-13T19:30:00,2022-09-13T20:00:00,medium,OPEN,False,wifi_cal,L2,L2-ST2,JIG-L2-ST2-2,STB-300,,,,,p95 67.94s contra limite 52.20s; mediana 30.60s,"Verificar gargalo de software ou hardware na etapa e checar jig, estacao e paradas proximas.",163,12,0.13015325670498085,,,,True
ALERT-755d181041f7,2026-07-03T04:39:09.304687+00:00,CYCLE_TIME_DRIFT,Drift de cycle time,2022-09-13T19:45:00,2022-09-13T20:15:00,medium,OPEN,False,wifi_cal,L2,L1-ST2,JIG-L1-ST2-1,STB-100,,,,,p95 77.43s contra limite 52.20s; mediana 30.65s,"Verificar gargalo de software ou hardware na etapa e checar jig, estacao e paradas proximas.",170,15,0.14833333333333334,,,,True
ALERT-2b247a271e28,2026-07-03T04:39:09.406833+00:00,CYCLE_TIME_DRIFT,Drift de cycle time,2022-09-13T20:00:00,2022-09-13T20:30:00,medium,OPEN,False,wifi_cal,L2,L2-ST1,JIG-L1-ST2-2,STB-200,,,,,p95 65.34s contra limite 52.20s; mediana 30.50s,"Verificar gargalo de software ou hardware na etapa e checar jig, estacao e paradas proximas.",184,10,0.1251819923371644,,,,True
ALERT-2b518d19cdc2,2026-07-03T04:39:09.507995+00:00,CYCLE_TIME_DRIFT,Drift de cycle time,2022-09-13T20:15:00,2022-09-13T20:45:00,medium,OPEN,False,wifi_cal,L2,L2-ST1,JIG-L2-ST1-1,STB-100,,,,,p95 72.15s contra limite 52.20s; mediana 30.70s,"Verificar gargalo de software ou hardware na etapa e checar jig, estacao e paradas proximas.",172,12,0.13821839080459764,,,,True
ALERT-30d8cea64005,2026-07-03T04:39:09.591613+00:00,CYCLE_TIME_DRIFT,Drift de cycle time,2022-09-13T20:30:00,2022-09-13T21:00:00,medium,OPEN,False,wifi_cal,L1,L1-ST2,JIG-L1-ST2-1,STB-100,,,Maintenance,Jig wifi programmer maintenance,p95 81.42s contra limite 52.20s; mediana 30.50s,"Verificar gargalo de software ou hardware na etapa e checar jig, estacao e paradas proximas.",170,20,0.15597701149425286,,,,True
ALERT-88f0b87218dc,2026-07-03T04:39:09.704741+00:00,CYCLE_TIME_DRIFT,Drift de cycle time,2022-09-13T20:45:00,2022-09-13T21:15:00,medium,OPEN,False,wifi_cal,L1,L1-ST1,JIG-L1-ST1-2,STB-100,,,,,p95 79.29s contra limite 52.20s; mediana 30.15s,"Verificar gargalo de software ou hardware na etapa e checar jig, estacao e paradas proximas.",178,15,0.15188697318007666,,,,True
ALERT-7113e95e0cfd,2026-07-03T04:39:09.768342+00:00,CYCLE_TIME_DRIFT,Drift de cycle time,2022-09-13T21:00:00,2022-09-13T21:30:00,medium,OPEN,False,wifi_cal,L1,L1-ST1,JIG-L1-ST1-2,STB-200,,,,,p95 54.00s contra limite 52.20s; mediana 30.10s,"Verificar gargalo de software ou hardware na etapa e checar jig, estacao e paradas proximas.",171,9,0.10344827586206898,,,,True
ALERT-ac07e2f3595c,2026-07-03T04:39:09.830854+00:00,CYCLE_TIME_DRIFT,Drift de cycle time,2022-09-13T21:15:00,2022-09-13T21:45:00,medium,OPEN,False,wifi_cal,L1,L1-ST2,JIG-L1-ST2-2,STB-200,,,,,p95 81.74s contra limite 52.20s; mediana 30.30s,"Verificar gargalo de software ou hardware na etapa e checar jig, estacao e paradas proximas.",183,16,0.15659003831417623,,,,True
ALERT-98d54152bd8c,2026-07-03T04:39:09.896875+00:00,CYCLE_TIME_DRIFT,Drift de cycle time,2022-09-13T21:30:00,2022-09-13T22:00:00,medium,OPEN,False,wifi_cal,L1,L1-ST1,JIG-L1-ST1-1,STB-200,,,,,p95 80.90s contra limite 52.20s; mediana 30.60s,"Verificar gargalo de software ou hardware na etapa e checar jig, estacao e paradas proximas.",165,15,0.15498084291187736,,,,True
ALERT-9a65c7df9e00,2026-07-03T04:39:09.959147+00:00,CYCLE_TIME_DRIFT,Drift de cycle time,2022-09-13T21:45:00,2022-09-13T22:15:00,medium,OPEN,False,wifi_cal,L1,L1-ST1,JIG-L1-ST1-1,STB-200,,,,,p95 55.95s contra limite 52.20s; mediana 30.00s,"Verificar gargalo de software ou hardware na etapa e checar jig, estacao e paradas proximas.",71,4,0.10718390804597702,,,,True
ALERT-8020533e2c64,2026-07-03T04:39:14.813516+00:00,MAC_DUPLICATE,MAC duplicado em seriais diferentes,2022-09-12T08:46:36,2022-09-14T07:04:06,critical,PENDING_REVIEW,True,MAC AC:5A:14:65:F4:CC,L1,L1-ST2,JIG-L1-ST2-1,STB-200,v4.1.2,,Planned; Unplanned; Maintenance,Scheduled break; Material shortage (trays); Shift handover; 5S / cleaning; Jig wifi programmer maintenance,"MAC AC:5A:14:65:F4:CC associado aos seriais: SN200220914083271, SN300220912077688","Revisar provisionamento, bloquear lote ate validar unicidade e auditar seriais afetados.",2,2,1.0,0.0,1000000.0,0.0,True
